Model,Holdout,bin,rows,fraud_rows,score_min,score_max,mean_score,observed_fraud_rate,abs_calibration_error
XGBoost[Raw + TabICL embeddings],sampled,3,2008,0,4.020900178e-06,7.237534646e-06,5.564246138e-06,0.0,5.564246138e-06
XGBoost[Raw + TabICL embeddings],sampled,4,2008,0,7.239792012e-06,1.239952417e-05,9.597522488e-06,0.0,9.597522488e-06
XGBoost[Raw + TabICL embeddings],sampled,5,2008,0,1.239983158e-05,2.115055031e-05,1.631325671e-05,0.0,1.631325671e-05
XGBoost[Raw + TabICL embeddings],sampled,6,2007,2,2.115375719e-05,3.769409523e-05,2.867397895e-05,0.000996512,0.000967838
XGBoost[Raw + TabICL embeddings],sampled,7,2007,1,3.769603791e-05,7.126512355e-05,5.207748385e-05,0.000498256,0.000446179
XGBoost[Raw + TabICL embeddings],sampled,8,2007,0,7.133222971e-05,0.000155708,0.000105777,0.0,0.000105777
XGBoost[Raw + TabICL embeddings],sampled,9,2007,0,0.00015576,0.000515119,0.000284382,0.0,0.000284382
XGBoost[Raw + TabICL embeddings],sampled,10,2007,72,0.000515205,0.999549806,0.034926158,0.035874439,0.000948282
XGBoost[Raw + TabICL embeddings],full,1,5697,0,1.000000012e-07,1.798558515e-06,9.474120235e-07,0.0,9.474120235e-07
XGBoost[Raw + TabICL embeddings],full,2,5697,0,1.798769404e-06,4.056384114e-06,2.837530152e-06,0.0,2.837530152e-06
XGBoost[Raw + TabICL embeddings],full,3,5696,0,4.057416845e-06,7.349370208e-06,5.624067888e-06,0.0,5.624067888e-06
