Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
TabICL[Direct all-history],holdout,target_recall,0.8,742,0.3948787061994609,0.8005464480874317
TabICL[Direct all-history],holdout,target_recall,0.9,1047,0.3151862464183381,0.9016393442622951
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.05,79,0.8607594936708861,0.18579234972677597
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.1,158,0.7911392405063291,0.34153005464480873
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.2,315,0.6952380952380952,0.5983606557377049
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.3,472,0.5699152542372882,0.7349726775956285
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.5,254,0.7204724409448819,0.5
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.7,403,0.6377171215880894,0.7021857923497268
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.8,585,0.5008547008547009,0.8005464480874317
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.9,903,0.3654485049833887,0.9016393442622951
