month,asset,weight,Strategy
2024-03,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-04,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-05,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-06,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-07,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-08,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-09,IEF,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-10,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-11,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-12,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-01,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-02,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-03,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-04,IEF,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-05,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-06,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-07,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-08,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-09,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-10,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-11,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-12,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-01,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-02,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-03,IEF,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,IWM,0.34218373375345523,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-02,IWM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-03,IWM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-04,IWM,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-05,IWM,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-06,IWM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-07,IWM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-08,IWM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-09,IWM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-10,IWM,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-11,IWM,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
