month,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base
2025-04,0.004171253244331799,0.004041956551186518,-0.05462497284887469,-0.05462497284887469,-0.05462497284887469,-0.05462497284887469,-0.05462497284887469,-0.05462497284887469
2025-05,-0.0024467033483578,-0.015062297028160233,-0.015062297028160233,-0.02401389098274753,-0.02401389098274753,-0.008252185194281317,-0.015062297028160233,-0.015062297028160233
2025-06,-0.0005107272390801518,-0.0027889232858496387,-0.00967630169062117,-0.01675587384850652,-0.01675587384850652,-0.00806991383285379,-0.005974594356747964,-0.005974594356747964
2025-07,0.020454214184733845,0.020454214184733845,0.018678057425029888,0.013509041504918716,0.013509041504918716,-0.0021997979654770896,-0.006124324208637103,-0.006124324208637103
2025-08,-0.009952637895747442,-0.00759897098008048,-0.0048253279665373405,0.001667594094400279,0.001667594094400279,-0.0048253279665373405,0.022837275565018723,0.022837275565018723
2025-09,-0.007803043505331563,0.0069322633230339825,-0.01314796118745017,-0.01661138807549789,-0.01661138807549789,-0.023521086465184027,-0.021263489654199587,-0.021263489654199587
2025-10,0.007107606165813888,-0.011298945820576703,0.012633702271543848,0.011245017779399494,0.011245017779399494,0.012633702271543848,0.025176361128701436,0.025176361128701436
2025-11,-0.006689054191935439,0.01033489457847699,0.013756789756123265,0.019995672316009072,0.019995672316009072,0.005022005499225268,0.005022005499225268,0.005022005499225268
2025-12,0.04833158771409729,0.008050364746218971,0.03321192988615792,0.05032113444489794,0.05032113444489794,0.03354658495041204,0.03354658495041204,0.03354658495041204
2026-01,-0.01348668999704868,0.03045623967737021,0.08550556746651294,0.08559642941561177,0.08559642941561177,0.016799955008933054,0.09186893997391184,0.09186893997391184
2026-02,-0.02245843787458246,-0.0046135204373440875,0.0013640944602018772,-0.003123834174998656,-0.003123834174998656,-0.0046135204373440875,-0.008740761029504496,-0.008740761029504496
2026-03,0.024227077878948546,0.024227077878948546,-0.07657523117582879,-0.06984529795562866,-0.06984529795562866,-0.014378374787697913,-0.01589889494932658,-0.01589889494932658
